IngredientName,IngredientShortDescription,IngredientId,PortionUOMTypeId
Sweet Onion Sauce - Metric                         ,Sweet Onion Sauce - Metr                    ,299,13
Teriyaki Glaze - Metric                            ,Teriyaki Glaze - Metric                     ,300,13
Salt & Pepper Blend - Metric                       ,Salt & Pepper Blend - Me                    ,301,13
"Vinegar, sauce - Metric                            ","Vinegar, sauce - Metr                       ",302,13
BBQ Rib Patty - Metric                             ,BBQ Rib Patty - Metric                      ,303,0
BBQ Sauce - Metric                                 ,BBQ Sauce - Metric                          ,304,13
Burger Patty - Metric                              ,Burger Patty - Metric                       ,305,0
"Carrots, Shredded - Metric                         ","Carrots, Shredded, Metri                    ",306,13
BBQ Chicken - Metric                               ,BBQ Chicken - Metric                        ,307,0
Chicken Fritter - Metric                           ,Chicken Fritter - Metric                    ,308,13
Chicken Salad - Metric                             ,Chicken Salad - Metric                      ,309,0
"Sauce, Lemon Olive Oil                             ","Sauce, Lemon Olive Oil                      ",310,15
Hash Browns - Metric                               ,Hash Browns - Metric                        ,311,13
Sausage Patties - Metric                           ,Sausage Patties - Metric                    ,312,13
Falafel - Metric                                   ,Falafel - Metric                            ,313,13
"Cheese, Shredded, Mozzarella - Metric              ","Cheese, Shredded, Mozzar                    ",314,13
Pepperoni For Pizza - Metric                       ,Pepperoni For Pizza - Me                    ,315,13
Sausage Pizza Crumble - Metric                     ,Sausage Pizza Crumble -                     ,316,13
"Protein, Pork, Pulled Applewood                    ","Protein, Pork, Pulled Ap                    ",317,15
"Sauce, Poblano Caesar Sauce                        ","Sauce, Poblano Caesar Sa                    ",318,15
"Yogurt, Bulk - Metric                              ",Yogurt - Bulk - Metric                      ,319,13
"Sauce, Italian Dressing - Metric                   ","Sauce, Italian Dressing                     ",320,13
Turkey - Metric                                    ,Turkey - Metric                             ,321,13
Bologna - Metric                                   ,Bologna - Metric                            ,322,13
"Sauce, Green Chili                                 ","Sauce, Green                                ",323,15
Pastrami - Metric                                  ,Pastrami - Metric                           ,324,13
Pulled Pork - Metric                               ,Pulled Pork - Metric                        ,325,13
Cold Cut Combo - Metric                            ,Cold Cut Combo - Metric                     ,326,13
Hot Pepper Relish                                  ,Hot Pepper Relish                           ,327,15
"Egg, Hard Cooked                                   ","Egg, Hard Cooked                            ",328,11
Hot Chocolate                                      ,Hot Chocolate                               ,329,15
"Yogurt, Parfait (Pre-made)                         ","Yogurt, Parfait (Pre-mad                    ",330,11
Giardiniera Topping                                ,Giardiniera Topping                         ,331,15
"Sauce, Zesty Avocado Sauce                         ","Sauce, Zesty Avocado Sau                    ",332,15
Ketchup - Metric                                   ,Ketchup - Metric                            ,333,13
Fountain Bev Syrup - Metric                        ,Fountain Bev Syrup - Met                    ,334,14
Balsamic Vinaigrette Sauce                         ,Balsamic Vinaigrette Sau                    ,335,15
"Ketchup Packets, PC Packets                        ","Ketchup Packets, PC Pack                    ",336,11
"Lemon Juice Packets, PC Packets                    ","Lemon Juice Packets, PC                     ",337,11
"Sauce, Cheddar Cheese Sauce                        ","Sauce, Cheddar Cheese Sa                    ",338,15
"Chicken, Sliced Chicken  - Metric                  ","Chicken, Sliced Chicken                     ",339,0
"Bag, Small Pre-Pack Cookie                         ","Bag, Small Pre-Pack Cook                    ",340,11
"Bag, Large Pre-Pack Cookie                         ","Bag, Large Pre-Pack Cook                    ",341,11
"Box, Catering Bulk Box                             ","Box, Catering Bulk Box                      ",342,11
Beef Brisket - Metric                              ,Beef Brisket - Metric                       ,343,13
"Soup, Frozen - Metric                              ","Soup, Frozen - Metric                       ",344,13
"Sauce, Thousand Island - Metric                    ","Sauce, Thousand Island -                    ",345,13
Bread Topping - Metric                             ,Bread Topping - Metric                      ,346,13
Toothpicks                                         ,Toothpicks                                  ,347,11
"Sauce, Zesty Tzatziki  Cucumber - Metric           ","Sauce, Zesty Tzatiki  Cu                    ",348,13
"Steak, Diced - Metric                              ","Steak, Diced - metric                       ",349,13
"Milk, Chocolate, Bottle                            ","Milk, Chocolate, Bottle                     ",350,11
v cbvbdfb                                          ,bdfbdbfbdfb                                 ,351,11
"Sauce, Chilli Sauce - Metric                       ","Sauce, Chilli Sauce - Metric                ",352,13
"Sauce, Tomato - Metric                             ","Sauce, Tomato - Metric                      ",353,13
"Bakery, Baked Bar                                  ","Bakery, Baked Bar                           ",354,11
"Egg, Whole Sanitized                               ","Egg, Whole Sanitized                        ",355,0
"Smoothie, Caramel Concentrate                      ","Smoothie, Caramel Concentrate               ",356,15
"Smoothie, Mocha Concentrate                        ",Smoothie Mocha Concentrate                  ,357,15
"Sauce, Smoky Chili Lime Sauce                      ","Sauce, Smoky Chili Lime Sauce               ",358,15
"Olives, Green Olives Sliced                        ","Olives, Green Olives Sliced                 ",359,0
"Cleaner, Rinse Dry                                 ","Cleaner, Rinse Dry                          ",360,11
"Sauce, Creamy Sriracha                             ","Sauce, Creamy Sriracha                      ",361,15
Mustard Glaze                                      ,Mustard Glaze                               ,362,15
"Seasoning, BBQ                                     ","Seasoning, BBQ                              ",363,11
"Salt, Portion Control Packet                       ","Salt, Portion Control Pa                    ",364,11
"Pepper, Portion Control Packet                     ","Pepper, Portion Control                     ",365,11
"Chili, Bowl                                        ","Chili, Bowl of Chili                        ",366,15
"Sauce, Creamy Pesto                                ","Sauce, Creamy Pesto                         ",367,0
"Coffee, Single Serve portion                       ","Coffee, Single Serve Por                    ",368,11
"Tray, Catering Flat Tray                           ","Tray, Catering Flat Tray                    ",369,11
"Bag, Reusable Grocery                              ","Bag, Reusable Grocery                       ",370,11
"Beef, Beef Chili Colorado                          ",Beef Chili Colorado                         ,371,15
"Cup, Smoothie 12 oz. clear                         ","Cup, Smoothie 12 oz clea                    ",372,11
"Chicken, Enchilada Chicken                         ","Chicken, Enchilada Seaso                    ",373,15
"Beef, Prime Rib Steak                              ","Beef, Prime Rib Steak pieces                ",374,15
Chips as Sandwich Topping                          ,Chips as Sandwich Topping                   ,375,11
"Sauce, Caesar -  Metric                            ","Sauce, Caesar - Metric                      ",376,13
"Sauce, Hot Sauce - Metric                          ","Sauce, Hot Sauce - Metri                    ",377,13
Mustards - Metric                                  ,Mustards - Metric                           ,378,13
Marinara -  Metric                                 ,Marinara - Metric                           ,379,13
Chipotle Sauce - Metric                            ,Chipotle Sauce - Metric                     ,380,13
Coffee - Metric                                    ,Coffee - Metric                             ,381,13
Sugar Packet                                       ,Sugar Packet                                ,382,11
"Sauce, Tikka - Metric                              ","Sauce, Tikka - Metric                       ",383,13
Relish Packet                                      ,Relish Packet                               ,384,11
Beef Strip                                         ,Beef Strip                                  ,385,11
"Seafood, Seafood Sensation - Metric                ",Seafood Sensation - Metr                    ,386,13
"Chicken, Chicken Schnitzel - Metric                ","Chicken, Chicken Schnitzel - Metric         ",387,13
"Sauce, Horseradish Sauce                           ","Sauce, Horseradish Sauce                    ",388,15
Cucumber - Metric                                  ,Cucumber - Metric                           ,389,13
"Lid, 16 oz/470ml-475ml                             ","Lid, 16oz/470-475ml                         ",390,11
"Cup, Cold,  24 oz/700ml-710ml                      ","Cup, Cold, 24 oz/ 700ml-710ml               ",391,11
"Lid, Cold, 12 oz./350ml-360ml                      ","Lid, Cold, 12 oz./350ml-360ml               ",392,11
Smoked Turkey Thigh                                ,Smoked Turkey Thigh                         ,393,13
"Walmart, Pretzel                                   ","Walmart, Pretzel                            ",394,11
"Walmart, Hot Dog, Regular                          ","Walmart, Hot Dog, Regula                    ",395,15
