RecipeName,RecipeDescription,RecipeId
adF/ChPar         ,Chicken Parm AddFt                        ,7295
dm6/ChPar         ,Chicken Parm Extr6                        ,7297
ad6/ChPar         ,Chicken Parm Add6in                       ,7299
#NOM?,Chicken Parm Portn                        ,7301
FtL/ChBcRn        ,Chicken Bcn Ranch FtLong                  ,7303
Six/ChBcRn        ,Chicken Bcn Ranch 6 inch                  ,7305
Sld/ChBcRn        ,Chicken Bcn Ranch Salad                   ,7307
dmF/ChBcRn        ,Chicken Bcn Ranch ExtrFT                  ,7309
adF/ChBcRn        ,Chicken Bcn Ranch AddFt                   ,7311
dm6/ChBcRn        ,Chicken Bcn Ranch Extr6                   ,7313
ad6/ChBcRn        ,Chicken Bcn Ranch Add6in                  ,7315
#NOM?,Chicken Bcn Ranch Portn                   ,7317
FtL/ChxPzl        ,Chicken Pizziola FtLong                   ,7319
Six/ChxPzl        ,Chicken Pizziola 6 inch                   ,7321
Sld/ChxPzl        ,Chicken Pizziola Salad                    ,7323
dmF/ChxPzl        ,Chicken Pizziola ExtrFT                   ,7325
adF/ChxPzl        ,Chicken Pizziola AddFt                    ,7327
dm6/ChxPzl        ,Chicken Pizziola Extr6                    ,7329
ad6/ChxPzl        ,Chicken Pizziola Add6in                   ,7331
#NOM?,Chicken Pizziola Portn                    ,7333
FtL/PizzaS        ,Pizza Sub FtLong                          ,7335
Six/PizzaS        ,Pizza Sub 6 inch                          ,7337
Sld/PizzaS        ,Pizza Sub Salad                           ,7339
dmF/PizzaS        ,Pizza Sub ExtrFT                          ,7341
adF/PizzaS        ,Pizza Sub AddFt                           ,7343
dm6/PizzaS        ,Pizza Sub Extr6                           ,7345
ad6/PizzaS        ,Pizza Sub Add6in                          ,7347
#NOM?,Pepperoni Portn                           ,7349
BxL/Spicy         ,Spicy Italian BoxLn                       ,7351
FtL/Spicy         ,Spicy Italian FtLong                      ,7353
Six/Spicy         ,Spicy Italian 6 inch                      ,7355
Sld/Spicy         ,Spicy Italian Salad                       ,7357
dmF/Spicy         ,Spicy Italian ExtrFT                      ,7359
adF/Spicy         ,Spicy Italian AddFt                       ,7361
dm6/Spicy         ,Spicy Italian Extr6                       ,7363
ad6/Spicy         ,Spicy Italian Add6in                      ,7365
BxL/TrkyHm        ,Turkey & Ham BoxLn                        ,7367
FtL/TrkyHm        ,Turkey & Ham FtLong                       ,7369
Six/TrkyHm        ,Turkey & Ham 6 inch                       ,7371
Sld/TrkyHm        ,Turkey & Ham Salad                        ,7373
dmF/TrkyHm        ,Turkey & Ham ExtrFT                       ,7375
adF/TrkyHm        ,Turkey & Ham AddFt                        ,7377
ad6/TrkyHm        ,Turkey & Ham Add6in                       ,7379
dm6/TrkyHm        ,Turkey & Ham Extr6                        ,7381
FtL/ChxCBl        ,Chix Cord Bleu FtLong                     ,7383
Six/ChxCBl        ,Chix Cord Bleu 6 inch                     ,7385
Sld/ChxCBl        ,Chix Cord Bleu Salad                      ,7387
